Geneid	R4C-rep1	R4C-rep2	R4C-rep3	R4S-rep1	R4S-rep2	R4S-rep3	ROP2-rep1	ROW2-rep1
gene:Solyc07g053100.4	10	38	46	60	68	70	20	110
gene:Solyc07g053080.4	0	0	0	4	0	0	0	0
gene:Solyc07g053070.3	0	0	0	0	0	0	0	0
gene:Solyc07g053060.3	1648	1686	1889	1670	1376	1414	1903	2662
gene:Solyc07g053050.1	3287	2314	2469	679	1267	1736	753	447
gene:Solyc07g053040.3	0	0	0	6	0	0	2	0
gene:Solyc07g053035.1	0	0	0	0	0	0	0	0
gene:Solyc07g053030.4	22	13	131	22	11	54	6912	608
gene:Solyc07g053025.1	0	2	8	0	0	0	0	0
gene:Solyc07g053020.3	2382	2033	2098	2470	2021	2356	141	257
gene:Solyc07g053010.3	262	231	250	244	178	194	0	0
gene:Solyc07g053000.1	6	2	12	2	1	12	0	0
gene:Solyc07g052990.1	168	123	149	69	81	112	101	15
gene:Solyc07g052985.1	0	0	0	0	0	0	0	0
gene:Solyc07g052980.3	22830	23415	23553	33943	26272	24757	4435	5121
gene:Solyc07g052970.3	286	302	256	307	258	406	50	16
gene:Solyc07g052960.3	26	28	40	61	111	117	0	0
gene:Solyc07g052950.3	48	48	72	82	42	40	4	38
gene:Solyc07g052940.4	9526	9741	9864	10460	9111	9795	6100	16658
gene:Solyc07g052930.3	487	534	823	617	208	225	131	139
gene:Solyc07g052917.1	5	2	5	1	0	0	7	0
gene:Solyc07g052913.1	354	366	308	497	350	424	940	638
gene:Solyc07g052910.3	130	84	115	110	88	60	18	15
gene:Solyc07g052900.1	3566	3829	3204	3587	3717	3559	3210	5479
gene:Solyc07g052885.1	4	3	1	4	1	2	0	7
gene:Solyc07g052880.4	108	86	118	166	171	155	197	420
gene:Solyc07g052870.2	16	26	39	52	28	52	49	130
gene:Solyc07g052860.3	18	31	15	29	37	29	21	71
gene:Solyc07g052840.1	34	22	49	77	85	82	54	140
gene:Solyc07g052830.4	696	632	765	892	700	770	577	1238
gene:Solyc07g052820.1	2	0	0	0	0	0	0	1
gene:Solyc07g052817.1	0	0	0	0	0	0	0	3
gene:Solyc07g052813.1	0	0	0	0	0	0	0	0
gene:Solyc07g052810.3	0	0	0	0	0	0	0	0
gene:Solyc07g052800.3	0	0	0	0	0	0	0	0
gene:Solyc07g052790.3	60	73	26	48	20	23	10	0
gene:Solyc07g052785.1	0	2	2	0	0	0	0	0
gene:Solyc07g052780.3	38	30	45	44	28	25	0	0
gene:Solyc07g052770.2	22	8	2	6	2	6	6	4
gene:Solyc07g052760.3	1314	1409	1246	1416	1557	1461	1079	1507
gene:Solyc07g052750.1	19	25	30	14	11	29	18	45
gene:Solyc07g052740.3	302	321	321	365	406	510	213	441
gene:Solyc07g052730.3	188	146	174	177	292	412	106	234
gene:Solyc07g052720.4	546	651	916	922	856	938	738	1121
gene:Solyc07g052710.1	114	93	151	67	72	106	14	120
gene:Solyc07g052700.3	868	876	1425	1027	976	1315	1016	1527
gene:Solyc07g052690.4	661	625	1137	529	540	619	60	356
gene:Solyc07g052680.1	214	247	191	138	91	128	124	69
gene:Solyc07g052670.3	606	746	757	656	496	429	497	595
gene:Solyc07g052660.1	2	1	16	0	2	2	16	6
gene:Solyc07g052650.2	8	0	2	4	0	0	8	22
gene:Solyc07g052640.3	657	698	763	491	498	569	800	1063
gene:Solyc07g052630.3	0	0	0	0	0	0	0	0
gene:Solyc07g052620.1	15	14	36	10	10	8	107	36
gene:Solyc07g052610.3	378	310	454	369	321	372	881	292
gene:Solyc07g052600.3	2828	2754	3351	2519	1838	1795	3627	2003
gene:Solyc07g052590.1	203	182	195	242	302	259	81	272
gene:Solyc07g052570.4	421	472	388	469	572	622	532	800
gene:Solyc07g052560.3	57	60	27	73	60	92	81	135
gene:Solyc07g052555.1	120	106	48	150	158	172	224	231
gene:Solyc07g052550.2	48	75	79	125	74	26	135	61
gene:Solyc07g052540.3	2	0	0	6	0	0	47	0
gene:Solyc07g052530.3	0	2	0	0	0	0	14	0
gene:Solyc07g052510.4	62	114	122	118	105	150	972	716
gene:Solyc07g052500.1	16	92	162	295	20	0	0	0
gene:Solyc07g052490.4	53	40	26	62	10	21	42	181
gene:Solyc07g052485.1	0	0	0	0	0	0	0	0
gene:Solyc07g052480.3	2412	2110	2266	3576	2824	2615	329	1856
gene:Solyc07g052470.3	68	114	108	62	64	70	394	274
gene:Solyc07g052460.3	12	2	2	12	4	6	498	14
gene:Solyc07g052445.1	0	0	0	0	0	0	0	0
gene:Solyc07g052440.3	204	279	216	233	220	175	306	118
gene:Solyc07g052430.3	801	751	591	740	670	615	881	648
gene:Solyc07g052420.3	576	595	564	473	491	501	1052	702
gene:Solyc07g052410.4	26	28	62	30	16	38	0	0
gene:Solyc07g052400.3	1588	1566	2398	1756	1617	2092	235	613
gene:Solyc07g052390.3	1231	1129	1761	1279	1058	1245	587	911
gene:Solyc07g052380.3	38	58	272	304	20	58	914	133
gene:Solyc07g052370.4	0	0	0	2	0	0	0	0
gene:Solyc07g052365.1	0	0	0	0	0	0	0	0
gene:Solyc07g052360.2	0	0	4	14	4	0	0	0
gene:Solyc07g052350.3	18187	20676	21480	19113	17650	19455	15626	19116
gene:Solyc07g052340.4	2541	2815	2596	1848	1678	1764	1200	2383
gene:Solyc07g052330.3	0	0	0	0	0	0	0	0
gene:Solyc07g052320.3	540	565	538	535	380	344	462	632
gene:Solyc07g052310.1	186	281	162	202	245	161	81	96
gene:Solyc07g052300.3	332	249	131	121	133	173	0	15
gene:Solyc07g052290.1	677	671	806	919	849	710	667	809
gene:Solyc07g150143.1	0	0	0	0	0	2	0	0
gene:Solyc07g052270.3	0	2	0	0	0	0	0	0
gene:Solyc07g052260.3	0	0	0	0	0	0	112	280
gene:Solyc07g150142.1	0	0	0	0	0	0	0	2
gene:Solyc07g052250.4	6	8	20	14	4	10	4	0
gene:Solyc07g052240.3	1322	1565	1356	1713	2024	2424	30	42
gene:Solyc07g052230.3	310	320	544	384	372	369	12	2
gene:Solyc07g052220.1	243	166	159	100	174	126	0	2
gene:Solyc07g052210.2	225	233	147	116	226	196	2	0
gene:Solyc07g052200.1	6	0	6	0	0	0	10	0
gene:Solyc07g052190.1	7	4	2	10	6	0	4	4
gene:Solyc07g052180.1	137	131	80	425	521	228	0	0
gene:Solyc07g052170.1	4	4	0	0	0	6	2	0
gene:Solyc07g052165.1	0	0	0	0	0	0	0	0
gene:Solyc07g052160.1	0	0	0	0	0	0	0	0
gene:Solyc07g052150.4	5	0	0	8	2	0	0	0
gene:Solyc07g052120.4	2	2	10	0	0	4	0	0
gene:Solyc07g052110.4	2736	3467	2586	2567	2447	2518	3652	5658
gene:Solyc07g052100.4	1729	3202	6894	7140	1199	1091	238	361
gene:Solyc07g052075.1	0	0	0	0	0	0	0	2
gene:Solyc07g052070.3	4	10	0	4	0	0	0	0
gene:Solyc07g052060.2	970	988	1224	573	459	456	1614	139
gene:Solyc07g052050.2	2	0	0	0	0	1	8	0
gene:Solyc07g052040.3	14	22	42	30	38	18	105	80
gene:Solyc07g150141.1	0	0	0	0	5	0	0	0
gene:Solyc07g052020.2	0	0	0	2	0	0	0	0
gene:Solyc07g052010.3	0	0	0	0	0	0	0	0
gene:Solyc07g052000.1	0	0	0	0	0	0	0	0
gene:Solyc07g051990.2	0	0	0	0	0	0	0	0
gene:Solyc07g051980.3	0	0	0	0	0	0	0	0
gene:Solyc07g051970.3	0	0	0	0	0	0	0	0
gene:Solyc07g051960.3	0	0	0	0	0	0	0	4
gene:Solyc07g051950.3	535	439	263	88	292	366	2	0
gene:Solyc07g051940.4	221	153	64	346	105	44	0	0
gene:Solyc07g051930.3	22	16	50	30	16	8	8	2
gene:Solyc07g051920.1	8	4	16	24	6	13	37	8
gene:Solyc07g051890.1	10	2	8	0	10	2	8	0
gene:Solyc07g051887.1	0	0	0	0	0	0	0	0
gene:Solyc07g051883.1	0	0	0	0	0	0	0	0
gene:Solyc07g051880.1	28	34	36	14	12	0	18	31
gene:Solyc07g051870.1	2	12	20	10	2	6	22	10
gene:Solyc07g051860.1	29	22	34	40	53	26	316	8
gene:Solyc07g051850.3	9076	9919	13905	10395	8135	8899	26663	22335
gene:Solyc07g051845.1	0	0	0	0	0	0	0	0
gene:Solyc07g051840.4	124	124	192	50	40	50	274	8
gene:Solyc07g051820.3	40	62	168	94	48	74	4	0
gene:Solyc07g051810.2	2	0	0	1	6	0	0	12
gene:Solyc07g051800.3	0	0	0	0	0	0	0	0
gene:Solyc07g049805.1	0	0	0	0	0	0	0	0
gene:Solyc07g049800.1	0	0	0	0	0	0	0	0
gene:Solyc07g049790.1	0	0	0	0	0	0	0	0
gene:Solyc07g049780.3	0	0	0	0	0	0	0	0
gene:Solyc07g049770.1	0	0	0	0	0	0	0	0
gene:Solyc07g049760.2	0	0	2	0	1	0	6	2
gene:Solyc07g049750.3	1122	1208	1240	1150	968	954	1582	1659
gene:Solyc07g049740.4	587	660	622	509	464	563	556	858
gene:Solyc07g049730.3	2505	2455	2426	2099	2223	2123	3496	2415
gene:Solyc07g049720.4	10347	10879	11684	10099	9720	9308	12098	19811
gene:Solyc07g049710.3	1101	1075	1235	1246	1212	1154	1141	812
gene:Solyc07g049700.1	68	46	38	40	42	28	10	13
gene:Solyc07g049690.3	3443	3346	4949	5317	3106	3311	289	382
gene:Solyc07g049680.4	1195	1843	1623	1751	1887	1888	580	986
gene:Solyc07g049670.4	1	2	4	24	4	8	0	0
gene:Solyc07g049655.1	21	32	4	20	6	16	4	0
gene:Solyc07g049650.1	0	0	0	2	0	0	0	0
gene:Solyc07g049645.1	22	14	26	40	14	30	18	4
gene:Solyc07g049640.3	0	0	0	0	0	0	0	0
gene:Solyc07g049635.1	0	0	0	0	0	0	3	0
gene:Solyc07g049630.1	1271	1145	1258	1099	833	827	887	362
gene:Solyc07g049610.1	2269	2367	2127	1561	1571	1681	1044	968
gene:Solyc07g049600.4	18	37	24	26	9	4	0	0
gene:Solyc07g049590.3	495	581	405	364	344	420	311	391
gene:Solyc07g049580.3	801	753	1292	872	785	782	744	754
gene:Solyc07g049570.3	829	992	1120	1163	1109	1021	1122	1758
gene:Solyc07g049567.1	1	6	3	6	2	0	0	0
gene:Solyc07g049565.1	60	39	64	92	55	51	41	30
gene:Solyc07g049563.1	88	86	155	146	94	119	36	94
gene:Solyc07g049560.3	715	882	1206	807	560	598	218	72
gene:Solyc07g049550.3	681	870	1580	1257	800	546	1770	590
gene:Solyc07g049540.2	0	0	0	0	0	0	0	0
gene:Solyc07g049530.3	3053	2737	11079	1044	1283	1686	1929	241
gene:Solyc07g049525.1	0	0	0	5	1	0	0	0
gene:Solyc07g049520.2	0	0	0	0	0	0	0	0
gene:Solyc07g049510.1	0	0	0	0	0	0	0	0
gene:Solyc07g049505.1	72	94	73	110	57	44	39	69
gene:Solyc07g049500.3	2929	3866	3747	4503	3215	2800	1790	3686
gene:Solyc07g049495.1	10	23	15	7	12	17	70	23
gene:Solyc07g049490.3	577	668	696	897	694	603	1423	1258
gene:Solyc07g049480.3	3106	3775	3702	3077	2803	2597	3284	4430
gene:Solyc07g049470.4	149	145	134	266	184	194	547	386
gene:Solyc07g049460.3	30	30	40	16	14	16	14	0
gene:Solyc07g049450.3	3446	4094	4095	6579	5320	5259	3452	5760
gene:Solyc07g049440.3	1950	1452	954	1769	1423	764	4	0
gene:Solyc07g049430.3	363	461	366	800	844	817	90	262
gene:Solyc07g049420.1	0	0	0	0	0	0	3	0
gene:Solyc07g049405.1	0	0	0	0	0	0	0	0
gene:Solyc07g049400.1	0	0	0	0	0	0	0	0
gene:Solyc07g049410.3	460	529	526	389	463	378	709	862
gene:Solyc07g049390.3	2716	2679	2283	1382	1681	1867	782	988
gene:Solyc07g150140.1	263	280	225	159	125	173	119	91
gene:Solyc07g049380.1	4	2	0	0	6	0	8	0
gene:Solyc07g049370.2	8515	9351	7559	8928	9483	8793	7948	5364
gene:Solyc07g049360.3	3707	3956	3846	5004	5086	4917	9633	11147
gene:Solyc07g049350.3	1734	1643	2083	1755	1592	1726	2199	4486
gene:Solyc07g049340.1	1	0	0	1	5	0	0	0
gene:Solyc07g150139.1	0	0	0	0	0	0	0	0
gene:Solyc07g049320.4	1393	1771	1502	1530	1570	1787	875	1524
gene:Solyc07g049310.3	727	659	647	684	540	716	665	918
gene:Solyc07g049300.3	1095	1185	1171	1250	963	1123	349	20
gene:Solyc07g049290.3	3041	2729	3497	3520	2815	2523	381	374
gene:Solyc07g049280.3	1616	2130	4211	5511	1632	1476	626	1409
gene:Solyc07g049270.4	144	144	118	157	167	150	178	224
gene:Solyc07g049260.4	2067	2734	2300	2077	1790	1619	1774	2160
gene:Solyc07g049250.1	0	0	0	0	0	0	0	0
gene:Solyc07g049240.3	0	0	0	0	0	0	0	0
gene:Solyc07g049230.1	519	513	483	762	1111	1201	604	557
gene:Solyc07g049220.4	922	978	1075	1253	1026	1154	1398	1802
gene:Solyc07g049215.1	13	11	15	17	10	21	13	32
gene:Solyc07g049210.3	749	770	698	756	702	707	1141	1180
gene:Solyc07g049200.4	222	234	205	426	349	334	1121	886
gene:Solyc07g049190.4	83	115	191	110	82	62	229	240
gene:Solyc07g049180.3	824	812	1462	762	511	641	1477	1395
gene:Solyc07g049170.2	3	0	1	4	2	1	0	0
gene:Solyc07g049160.4	489	566	467	576	544	579	667	598
gene:Solyc07g049150.2	909	1022	1185	753	532	596	2092	659
gene:Solyc07g049135.1	0	0	0	0	0	0	1337	1700
gene:Solyc07g049130.1	0	0	0	0	0	0	0	0
gene:Solyc07g049120.2	0	0	0	0	0	0	0	10
gene:Solyc07g048120.3	1050	1138	1081	1034	775	939	1346	1434
gene:Solyc07g048110.4	433	449	411	398	287	478	429	420
gene:Solyc07g048100.3	609	736	383	688	780	556	63	706
gene:Solyc07g048090.2	2984	3364	2759	2904	2893	2613	2860	6458
gene:Solyc07g048080.4	2302	2220	2053	1984	1760	1815	845	992
gene:Solyc07g048070.3	74	150	481	557	86	83	64	6
gene:Solyc07g048060.3	71	76	227	142	102	70	6	0
gene:Solyc07g048050.3	131	146	99	130	196	135	8	2
gene:Solyc07g048040.1	764	777	802	815	794	942	3320	3326
gene:Solyc07g048030.4	1058	1193	1101	1046	1017	866	760	957
gene:Solyc07g048020.3	0	0	0	0	0	0	0	0
gene:Solyc07g048010.4	580	831	375	514	711	662	288	643
gene:Solyc07g048000.3	124	142	65	68	42	61	26	43
gene:Solyc07g047990.1	4	0	14	2	16	18	0	0
gene:Solyc07g047980.3	3204	3294	3645	2469	3303	4313	2612	2848
gene:Solyc07g047970.4	1679	1845	1933	1516	1289	1243	1737	1755
gene:Solyc07g047960.3	240	253	394	311	266	259	797	491
gene:Solyc07g047950.1	1051	1078	1533	1143	957	1034	2295	1973
gene:Solyc07g047940.4	174	159	119	254	274	188	157	361
gene:Solyc07g047920.3	0	0	2	0	0	0	0	0
gene:Solyc07g047915.1	4	8	0	10	0	6	0	0
gene:Solyc07g047910.2	0	0	6	0	0	0	0	2
gene:Solyc07g047900.3	698	861	878	922	774	805	963	1691
gene:Solyc07g047890.4	187	224	292	224	186	177	504	358
gene:Solyc07g047870.1	1	10	18	26	4	18	1	198
gene:Solyc07g047860.4	4128	4800	5165	5070	3185	2781	1942	3978
gene:Solyc07g047850.3	40314	41529	33481	92878	68133	54587	4778	2194
gene:Solyc07g047840.2	287	324	334	323	388	371	186	228
gene:Solyc07g047830.3	1984	2333	2023	2814	2930	2642	958	1191
gene:Solyc07g047827.1	10	16	10	18	6	16	0	0
gene:Solyc07g047823.1	85	73	89	47	74	78	127	119
gene:Solyc07g047820.3	494	660	623	445	433	439	469	1027
gene:Solyc07g047800.3	3965	4093	5980	3946	3106	2789	7639	9467
gene:Solyc07g047790.3	10324	11907	8036	10503	9582	8326	5926	10066
gene:Solyc07g047780.3	1472	1423	2266	1437	1417	1390	2956	2451
gene:Solyc07g047770.4	5324	5217	5949	5880	5332	5210	3925	9127
gene:Solyc07g047750.3	485	536	593	599	496	563	1294	1137
gene:Solyc07g047745.1	3	0	0	5	1	8	17	4
gene:Solyc07g047740.3	53	66	36	94	89	71	0	0
gene:Solyc07g047720.3	1414	1414	1696	1690	1270	1110	2666	1836
gene:Solyc07g047710.3	103	65	123	154	74	121	96	41
gene:Solyc07g047700.4	1050	987	955	1078	1065	886	2022	1453
gene:Solyc07g047690.1	2159	2562	2853	2616	1867	1788	3212	1849
gene:Solyc07g047680.3	85	96	159	127	123	197	60	26
gene:Solyc07g047670.3	10340	11395	12377	7732	9529	11221	12326	18979
gene:Solyc07g047650.1	0	0	0	0	0	0	0	0
gene:Solyc07g047640.2	17	24	20	30	18	20	0	0
gene:Solyc07g150138.1	0	0	0	0	0	0	0	0
gene:Solyc07g047620.3	281	330	279	343	350	321	314	374
gene:Solyc07g047610.3	2034	2043	1784	1602	1619	1708	1257	1684
gene:Solyc07g045610.1	0	0	0	0	0	0	0	0
gene:Solyc07g045600.1	0	0	0	0	0	0	0	0
gene:Solyc07g045590.1	4	0	2	0	2	0	1	1
gene:Solyc07g045580.1	54	25	21	37	34	38	14	73
gene:Solyc07g045570.3	31	22	41	48	50	53	35	82
gene:Solyc07g045565.1	0	2	1	1	2	4	0	6
gene:Solyc07g045560.1	0	0	0	0	0	1	0	8
gene:Solyc07g045550.3	2	12	0	6	3	0	2	24
gene:Solyc07g045540.4	980	963	1413	1783	1732	2138	462	1162
gene:Solyc07g045530.2	218	135	210	73	77	107	73	77
gene:Solyc07g045525.1	0	0	0	0	0	0	0	0
gene:Solyc07g045520.4	270	242	436	381	326	384	752	647
gene:Solyc07g045510.4	89	89	106	107	95	114	57	212
gene:Solyc07g045500.1	1	5	8	12	5	20	30	29
gene:Solyc07g045490.3	7	8	10	24	11	5	13	4
gene:Solyc07g045480.3	1056	1227	1116	1216	1123	1213	1760	3296
gene:Solyc07g045470.3	588	540	847	405	347	468	482	722
gene:Solyc07g045460.3	338	424	529	356	233	298	291	169
gene:Solyc07g045455.1	0	0	0	0	0	0	0	0
gene:Solyc07g045450.1	192	244	271	177	144	100	123	68
gene:Solyc07g045440.1	5176	5338	6026	5894	3273	3449	960	860
gene:Solyc07g045430.4	2	4	12	0	4	2	0	0
gene:Solyc07g045420.4	3642	3249	6594	2631	1850	1721	3238	2450
gene:Solyc07g045410.2	186	197	241	167	188	150	249	431
gene:Solyc07g045400.1	94	99	44	87	88	95	82	176
gene:Solyc07g045390.3	567	635	503	840	663	684	771	634
gene:Solyc07g045380.3	565	626	609	811	781	713	1461	1892
gene:Solyc07g045370.3	670	678	710	714	757	702	853	1488
gene:Solyc07g045353.1	127	146	98	144	120	134	198	605
gene:Solyc07g045350.4	4466	5189	5224	4049	3619	3381	3347	3815
gene:Solyc07g045340.4	972	846	1060	596	647	573	1724	1412
gene:Solyc07g045330.3	1501	1766	1842	1736	1450	1350	1722	1952
gene:Solyc07g045320.3	1210	1298	1625	1091	803	644	572	1195
gene:Solyc07g045310.4	1302	1261	1512	1345	1231	1357	1013	857
gene:Solyc07g045300.4	388	390	520	341	346	390	404	437
gene:Solyc07g045290.3	2154	2736	3694	4139	2286	2050	2675	3333
gene:Solyc07g045280.3	0	0	0	0	0	0	0	0
gene:Solyc07g045270.2	0	0	0	0	0	3	4	0
gene:Solyc07g045260.3	0	0	0	2	0	0	0	4
gene:Solyc07g045255.1	558	627	666	506	548	498	678	629
gene:Solyc07g045250.1	690	582	619	477	516	480	833	543
gene:Solyc07g045240.3	7242	8543	7597	7991	8432	7775	10633	11185
gene:Solyc07g045230.4	2072	2282	2207	2212	2136	2187	3714	5833
gene:Solyc07g045220.3	300	336	396	424	395	453	890	866
gene:Solyc07g045210.1	4394	4521	4452	4390	3611	3545	3385	4229
gene:Solyc07g045200.1	5	12	12	37	12	17	41	47
gene:Solyc07g045190.3	327	307	666	419	325	330	2721	1219
gene:Solyc07g045180.4	1745	1878	1908	873	571	823	1980	1966
gene:Solyc07g045170.3	2448	3174	3839	5340	3728	3547	1982	4230
gene:Solyc07g045160.3	73	136	96	20	27	22	62	108
gene:Solyc07g045150.3	2578	2690	2070	1566	1599	1654	2541	2234
gene:Solyc07g045140.4	675	716	1687	118	94	116	190	447
gene:Solyc07g045127.1	2	4	0	2	4	4	0	4
gene:Solyc07g045125.1	4	0	0	4	2	14	0	0
gene:Solyc07g045123.1	42	24	44	41	30	32	13	16
gene:Solyc07g045120.2	8	22	6	10	0	10	0	0
gene:Solyc07g045110.1	0	0	0	0	0	0	0	0
gene:Solyc07g045100.1	1222	1040	975	325	727	1021	201	201
gene:Solyc07g045090.3	126	118	180	143	74	87	10	2
gene:Solyc07g045080.3	841	724	1083	589	898	1376	2	84
gene:Solyc07g045070.3	1136	1327	1392	1460	955	896	1368	1980
gene:Solyc07g045060.1	0	0	0	0	0	0	0	0
gene:Solyc07g045050.3	815	860	764	720	610	559	660	892
gene:Solyc07g045040.3	0	0	0	0	0	0	0	4
gene:Solyc07g045030.4	4	12	6	0	0	0	0	0
gene:Solyc07g045010.3	1740	2462	2928	3638	2461	2889	1152	1993
gene:Solyc07g045000.4	7	12	3	12	2	0	95	2
gene:Solyc07g044990.3	117	92	149	89	79	96	389	379
gene:Solyc07g044985.1	0	0	0	0	0	0	0	0
gene:Solyc07g044980.3	1624	1477	1347	1251	1039	1101	2674	4193
gene:Solyc07g044970.1	0	0	0	0	0	0	10	16
gene:Solyc07g044960.1	25	36	67	14	16	24	26	8
gene:Solyc07g044930.3	1182	1438	1241	1207	1307	1374	706	2082
gene:Solyc07g044920.1	0	0	0	0	0	0	0	2
gene:Solyc07g044910.1	2	9	0	0	0	0	0	8
gene:Solyc07g044900.1	1	7	0	1	0	0	5	0
gene:Solyc07g044890.1	0	0	0	0	0	0	0	0
gene:Solyc07g044880.3	1464	1446	1330	1104	1230	1292	1484	1268
gene:Solyc07g044870.4	0	0	0	0	0	0	134	16
gene:Solyc07g044860.3	22241	21348	25052	43448	34091	33636	4861	2300
gene:Solyc07g044850.3	2060	2339	2154	2444	2089	2339	2977	3822
gene:Solyc07g044840.3	11870	13228	12120	11373	9814	9358	16393	20715
gene:Solyc07g044830.3	926	1000	827	945	903	834	1883	1216
gene:Solyc07g044820.1	30	78	114	233	42	25	0	0
gene:Solyc07g044815.1	0	0	0	0	0	0	0	0
gene:Solyc07g044810.3	1347	1553	1558	1472	1399	1362	3442	3319
gene:Solyc07g044800.2	75	90	93	92	43	61	16	38
gene:Solyc07g044785.1	64	114	103	98	57	75	41	31
gene:Solyc07g044780.3	473	599	728	695	562	586	759	1613
gene:Solyc07g044760.3	8217	8845	8589	6575	7245	7564	8534	16825
gene:Solyc07g044750.3	177	241	205	158	211	236	275	307
gene:Solyc07g044730.4	0	0	0	0	0	0	0	0
gene:Solyc07g044725.1	0	0	0	0	0	0	0	0
gene:Solyc07g044720.3	0	0	0	0	0	0	0	0
gene:Solyc07g044710.2	0	0	0	0	0	0	0	0
gene:Solyc07g043717.1	0	0	0	0	0	0	0	0
gene:Solyc07g043713.1	0	0	0	0	0	0	0	0
gene:Solyc07g043710.4	24	26	2	24	20	4	0	0
gene:Solyc07g043700.3	0	0	0	0	0	0	0	0
gene:Solyc07g043690.2	0	2	0	0	0	0	0	0
gene:Solyc07g043685.1	0	0	0	0	0	0	0	0
gene:Solyc07g043680.3	6	26	4	0	8	0	526	66
gene:Solyc07g043670.1	0	2	0	0	0	4	0	0
gene:Solyc07g043665.1	0	0	0	0	0	0	0	0
gene:Solyc07g043660.3	12	26	30	48	41	48	179	121
gene:Solyc07g043655.1	0	0	2	0	0	0	0	0
gene:Solyc07g043650.3	8	20	2	6	8	12	0	0
gene:Solyc07g043640.3	0	2	2	2	7	0	13	164
gene:Solyc07g043630.2	2	6	20	4	18	12	117	225
gene:Solyc07g043620.3	1917	2011	2074	1604	1687	1537	1475	3164
gene:Solyc07g043610.3	1488	1554	1727	1368	1328	1347	2136	2661
gene:Solyc07g043600.4	1299	1180	1317	1350	1702	1765	1316	1689
gene:Solyc07g043590.3	2006	2114	2678	3402	2232	1988	3953	2683
gene:Solyc07g043580.4	3545	3105	4206	1182	1411	1272	295	58
gene:Solyc07g043570.3	1429	1507	2350	1755	1400	1540	10666	5348
gene:Solyc07g043560.4	5532	6858	6225	8878	7085	6700	4194	8851
gene:Solyc07g043550.3	140	194	166	93	99	96	3888	1160
gene:Solyc07g043530.2	0	0	0	0	0	0	0	0
gene:Solyc07g043510.3	707	646	816	387	951	828	823	792
gene:Solyc07g043500.1	12114	11051	8295	6669	5081	4146	8512	4423
gene:Solyc07g043490.1	16981	17261	13696	11220	9564	9580	7108	4540
gene:Solyc07g043485.1	0	0	0	0	0	0	0	0
gene:Solyc07g043480.1	15402	16587	13884	14598	13551	13429	3878	1839
gene:Solyc07g043470.3	2	1	0	0	1	1	0	0
gene:Solyc07g043460.3	32214	32420	25076	26787	22852	20128	11539	7430
gene:Solyc07g043450.3	1	0	2	0	0	0	0	0
gene:Solyc07g043440.1	0	0	0	0	0	0	0	0
gene:Solyc07g043420.3	235357	242869	260623	226699	169832	138704	99535	35118
gene:Solyc07g043410.1	388	564	653	332	310	554	122	2
gene:Solyc07g043400.1	0	0	0	0	0	0	0	0
gene:Solyc07g043390.4	94893	96251	97536	99007	68702	61262	44282	27957
gene:Solyc07g150137.1	0	0	0	0	0	0	0	0
gene:Solyc07g043360.1	9888	11154	7818	8932	9317	8361	12191	11038
gene:Solyc07g043350.3	0	0	0	0	1	0	0	0
gene:Solyc07g043340.1	0	0	0	0	0	0	0	0
gene:Solyc07g043330.3	1367	1601	1384	2023	1210	1076	482	452
gene:Solyc07g043320.3	6151	6313	8261	6581	6299	5219	5180	3104
gene:Solyc07g043310.3	2559	2961	3764	2833	2010	1997	7677	5337
gene:Solyc07g043285.1	0	0	0	0	0	0	0	0
gene:Solyc07g043280.1	0	0	0	0	0	0	0	0
gene:Solyc07g043270.3	6229	6416	7709	8562	6219	5916	6499	11231
gene:Solyc07g043260.4	2832	2864	3562	3542	2876	2970	4034	5142
gene:Solyc07g043250.1	222	148	269	76	112	103	350	179
gene:Solyc07g043240.4	367	202	223	414	394	231	42	4
gene:Solyc07g043230.3	481	474	993	354	321	558	28	32
gene:Solyc07g043205.1	0	0	0	0	0	0	0	0
gene:Solyc07g043200.2	0	0	0	0	0	0	2	0
gene:Solyc07g043180.1	0	0	0	1	0	0	5	0
gene:Solyc07g043170.4	82	35	83	82	74	78	215	164
gene:Solyc07g043160.1	1012	960	1493	1024	758	853	1582	863
gene:Solyc07g043150.1	76	77	49	46	22	24	239	124
gene:Solyc07g150136.1	6	4	0	2	1	0	8	2
gene:Solyc07g150135.1	4	0	0	4	0	1	6	7
gene:Solyc07g043130.3	3056	2752	1532	4436	2582	1056	224	422
gene:Solyc07g043120.1	185	196	540	128	104	238	4821	1040
gene:Solyc07g043110.2	0	0	0	0	0	0	0	0
gene:Solyc07g043100.1	0	0	0	0	0	0	0	0
gene:Solyc07g043070.3	657	897	377	580	792	890	397	94
gene:Solyc07g043060.1	9	16	1	8	10	18	2	8
gene:Solyc07g043050.1	101	113	304	431	188	276	1642	2924
gene:Solyc07g043040.1	0	0	0	0	0	0	0	0
gene:Solyc07g043025.1	0	0	0	0	0	0	0	0
gene:Solyc07g043020.1	0	0	0	0	0	0	0	0
gene:Solyc07g043010.1	0	0	0	0	0	0	0	0
gene:Solyc07g042995.1	7837	9826	7566	10497	13364	11738	22439	11671
gene:Solyc07g042990.1	545	513	484	474	451	601	311	103
gene:Solyc07g042970.4	409	366	478	373	386	367	412	730
gene:Solyc07g042950.1	234	269	303	193	215	226	368	366
gene:Solyc07g042940.1	2	0	0	0	0	2	0	0
gene:Solyc07g042930.3	506	568	590	474	344	513	757	693
